ID Pregunta,Pregunta,Respuesta Correcta
35,¿Cuál es el propósito principal de usar Genéricos (la notación `<T>`) en colecciones como ArrayList?,A) Aportar seguridad obligando a guardar un tipo específico.
36,"Dentro de la API de Colecciones, ¿cuál es la interfaz raíz (Top-Level) de la que derivan List, Set y Queue?",C) Collection
37,¿Cuál es la principal diferencia entre un `ArrayList` y un Array tradicional (`[]`)?,B) El ArrayList crece dinámicamente al añadir elementos.
38,"Si necesitas almacenar elementos garantizando que NO HAYA DUPLICADOS, la implementación más adecuada es:",D) HashSet
39,La interfaz `Map` almacena la información mediante un sistema de:,A) Pares Clave/Valor (Key/Value).
40,"Al trabajar con un `HashMap`, ¿qué devuelve el método `keySet()`?",C) Un conjunto (Set) con todas las claves registradas.
41,"En la gestión de Entrada/Salida (I/O) en Java, ¿qué es un 'Stream'?",B) Un flujo secuencial de lectura o escritura.
42,¿Cuál es la función específica de la clase `File` del paquete `java.io`?,D) Representar rutas y verificar si los archivos existen.
43,"Para leer caracteres de un archivo de texto con alta eficiencia, reduciendo las llamadas al disco, se suele envolver el `FileReader` en un:",A) BufferedReader
44,"Si necesitamos guardar el estado de un objeto Java directamente en un archivo binario, el objeto debe implementar la interfaz:",C) Serializable
45,"En la Programación Dirigida por Eventos (ej. Interfaces Gráficas), ¿qué papel cumple un 'Listener' (Oyente)?",B) Espera una acción del usuario para ejecutar un código.
46,"En una Base de Datos Relacional, ¿qué nombre recibe la estructura bidimensional compuesta por columnas (campos) y filas (registros)?",D) Tabla
47,"Teniendo en cuenta el estándar, ¿a qué subgrupo del lenguaje SQL pertenecen las sentencias SELECT, INSERT, UPDATE y DELETE?",C) DML (Data Manipulation Language)
48,"En la arquitectura JDBC para conectar Java a una Base de Datos, ¿cuál es la función principal del 'Driver'?",A) Actuar como intermediario entre Java y la base de datos.
49,"Al ejecutar una consulta 'SELECT' mediante JDBC, el conjunto de filas devuelto por la base de datos se almacena en un objeto Java de tipo:",B) ResultSet
50,"Frente a bases de objetos puros como Neodatis, el mercado actual demanda bases NoSQL como MongoDB, que usan el formato estructurado:",D) JSON
